Item #,Warehouse,Category,Manufacturer,Model,Grade,Capacity,Carrier,Color,Lock Status,Model Number,Parts Message,Increment Size,Quantity Available,List Price,Transaction Status,Transaction Quantity,Transaction Price,Expires,New Offer Quantity,New Offer Price
45760,New York,TABLETS,Apple,iPad 11,KFCG,128GB,GSM Unlocked,Silver,GSM Unlocked,A3355,,1,1,270,,,,,,
34721,New York,TABLETS,Apple,iPad 8,KFCG,32GB,GSM Unlocked,Grey,GSM Unlocked,A2428,,1,4,125,,,,,,
67039,New York,TABLETS,Apple,iPad 8,PCG,32GB,GSM Unlocked,Silver,GSM Unlocked,A2428,,1,1,90,,,,,,
65529,New York,TABLETS,Apple,iPad 8,PLB,32GB,GSM Unlocked,Grey,GSM Unlocked,A2428,,1,2,105,,,,,,
60778S,New York,TABLETS,Apple,iPad 8,PGL,128GB,GSM Unlocked,Silver,GSM Unlocked,A2428,,1,1,125,,,,,,
67027,New York,TABLETS,Apple,iPad 9,PCG,64GB,WiFi,Grey,,A2602,,1,1,100,,,,,,
60765GY,New York,TABLETS,Apple,iPad 9,PGL,64GB,WiFi,Grey,,A2602,,1,5,110,,,,,,
45031,New York,TABLETS,Apple,iPad 9,KFCG,256GB,WiFi,Grey,,A2602,,1,1,155,,,,,,
6767GY,New York,TABLETS,Apple,iPad 9,PGL,256GB,WiFi,Grey,,A2602,,1,1,125,,,,,,
60766S,New York,TABLETS,Apple,iPad 9,PGL,256GB,WiFi,Silver,,A2602,,1,1,125,,,,,,
67024,New York,TABLETS,Apple,iPad 9,PLB,256GB,WiFi,Grey,,A2602,,1,1,115,,,,,,
45023,New York,TABLETS,Apple,iPad Pro 3 12.9-inch,C-Stock,64GB,WiFi,Grey,,A1876,,1,1,330,,,,,,
45021,New York,TABLETS,Apple,iPad Pro 3 12.9-inch,KFCG,64GB,WiFi,Grey,,A1876,,1,1,310,,,,,,
45022,New York,TABLETS,Apple,iPad Pro 3 12.9-inch,KFLB,64GB,WiFi,Grey,,A1876,,1,4,310,,,,,,
67026,New York,TABLETS,Apple,iPad Pro 3 12.9-inch,PLB,64GB,WiFi,Grey,,A1876,,1,1,260,,,,,,
39286,New York,TABLETS,Apple,iPad Pro 6 12.9-inch,PLCD,128GB,GSM Unlocked,Mixed,GSM Unlocked,A2764,,1,1,420,,,,,,
27888,New York,PHONES,Apple,iPhone 11,A1-Stock,64GB,GSM Unlocked,Black,GSM Unlocked,A2111,,1,4,185,,,,,,
27880,New York,PHONES,Apple,iPhone 11,A1-Stock,64GB,GSM Unlocked,Red,GSM Unlocked,A2111,,1,1,185,,,,,,
28024,New York,PHONES,Apple,iPhone 11,A1-Stock,64GB,GSM Unlocked,Green,GSM Unlocked,A2111,,1,10,185,,,,,,
27876,New York,PHONES,Apple,iPhone 11,A1-Stock,64GB,GSM Unlocked,Purple,GSM Unlocked,A2111,,1,11,185,,,,,,
27875,New York,PHONES,Apple,iPhone 11,A1-Stock,64GB,GSM Unlocked,White,GSM Unlocked,A2111,,1,9,185,,,,,,
27643,New York,PHONES,Apple,iPhone 11,A2-Stock,64GB,GSM Unlocked,Black,GSM Unlocked,A2111,,1,7,175,,,,,,
27895,New York,PHONES,Apple,iPhone 11,A2-Stock,64GB,GSM Unlocked,Green,GSM Unlocked,A2111,,1,22,175,,,,,,
27881,New York,PHONES,Apple,iPhone 11,A2-Stock,64GB,GSM Unlocked,Red,GSM Unlocked,A2111,,1,1,175,,,,,,
27877,New York,PHONES,Apple,iPhone 11,A2-Stock,64GB,GSM Unlocked,Purple,GSM Unlocked,A2111,,1,12,175,,,,,,
27868,New York,PHONES,Apple,iPhone 11,A2-Stock,64GB,GSM Unlocked,White,GSM Unlocked,A2111,,1,10,175,,,,,,
30559,New York,PHONES,Apple,iPhone 11,B1-Stock,64GB,GSM Unlocked,Black,GSM Unlocked,A2111,,1,100+,165,,,,,,
30566,New York,PHONES,Apple,iPhone 11,B1-Stock,64GB,GSM Unlocked,Green,GSM Unlocked,A2111,,1,100+,165,,,,,,
30572,New York,PHONES,Apple,iPhone 11,B1-Stock,64GB,GSM Unlocked,Purple,GSM Unlocked,A2111,,1,100+,165,,,,,,
30584,New York,PHONES,Apple,iPhone 11,B1-Stock,64GB,GSM Unlocked,White,GSM Unlocked,A2111,,1,100+,165,,,,,,
30577,New York,PHONES,Apple,iPhone 11,B1-Stock,64GB,GSM Unlocked,Red,GSM Unlocked,A2111,,1,12,165,,,,,,
30570,New York,PHONES,Apple,iPhone 11,B1-Stock,64GB,Verizon,Green,GSM Unlocked,A2111,,1,1,165,,,,,,
30566UP,New York,PHONES,Apple,iPhone 11,B1-Stock,64GB,GSM Unlocked,Green,GSM Unlocked,A2111,Unknown Part Message,1,1,155,,,,,,
30584UP,New York,PHONES,Apple,iPhone 11,B1-Stock,64GB,GSM Unlocked,White,GSM Unlocked,A2111,Unknown Part Message,1,1,155,,,,,,
27896,New York,PHONES,Apple,iPhone 11,B2-Stock,64GB,GSM Unlocked,Green,GSM Unlocked,A2111,,1,98,155,,,,,,
27878,New York,PHONES,Apple,iPhone 11,B2-Stock,64GB,GSM Unlocked,Purple,GSM Unlocked,A2111,,1,100+,155,,,,,,
27869,New York,PHONES,Apple,iPhone 11,B2-Stock,64GB,GSM Unlocked,White,GSM Unlocked,A2111,,1,38,155,,,,,,
27889,New York,PHONES,Apple,iPhone 11,B2-Stock,64GB,GSM Unlocked,Black,GSM Unlocked,A2111,,1,100+,155,,,,,,
29999,New York,PHONES,Apple,iPhone 11,C1-Stock,64GB,GSM Unlocked,Black,GSM Unlocked,A2111,,1,10,135,,,,,,
